meteor,bert_f1,halluc,P_Hallucinatory,P_Bad,P_Good,P_Perfect
0.817901234567901,0.933852851390839,1,0.11669038475112203,0.037517195315247914,0.2679371498866402,0.5778552700469899
0.297581699346405,0.90641462802887,2/3,0.34426444195418343,0.0758824989422745,0.3236559395656103,0.2561971195379318
0.913911845730028,0.940433859825134,2/3,0.0928571605936193,0.03092839007069033,0.23766794765298516,0.6385465016827052
0.402253668763103,0.900164902210236,1/3,0.2853266812192415,0.06992959484236694,0.3330012521778069,0.31174247176058467
0.942170240415855,0.941378951072693,1,0.08674823614784852,0.02915362954602274,0.2284805178759519,0.6556176164301768
0.970804988662132,0.951189458370209,1,0.08072277888312458,0.027368317975063172,0.21877569543436837,0.6731332077074439
0.89185393258427,0.886204659938812,1,0.09939853794155226,0.03278967010384293,0.2468225865859858,0.620989205368619
0.878054925673974,0.924253582954407,1,0.10159542358826519,0.03340574561425695,0.24974630358094446,0.6152525272165335
0.817901234567901,0.940027475357056,1,0.11648883066170426,0.03746368787666457,0.26771492011840875,0.5783325613432224
0.423808380095635,0.903209149837494,1,0.2736951409711544,0.06844360833640795,0.3335922034639353,0.32426904722850236
0.689398894107854,0.93547648191452,1,0.1562965139086779,0.047315711982818115,0.30242003997833417,0.4939677341301698
0.828623670212766,0.933051466941834,1,0.11383504970444279,0.036755683240642364,0.26473877538990365,0.5846704916650112
0.970804988662132,0.948812127113342,1,0.08077870676204363,0.027385048727165295,0.2188688339313722,0.6729674105794189
0.908203125,0.907910048961639,1,0.09501473750018127,0.03154676331041256,0.24076340937546017,0.6326750898139459
0.81039755351682,0.932801783084869,2/3,0.11877883801976788,0.038069424825918324,0.27020868476123877,0.572943052393075
0.977589908749329,0.956124305725098,1,0.07929168278004843,0.026939187252114652,0.21637243960825286,0.677396690359584
0.801284521515735,0.943213820457459,2/3,0.12096417533434901,0.03864298073740728,0.2725256025277521,0.5678672414004916
0.905782975958415,0.914207875728607,2/3,0.09539215417167261,0.03165448142514311,0.24129710275809302,0.6316562616450913
0.245726495726496,0.889221549034119,2/3,0.37701123512853807,0.0780909746160493,0.3148290172021051,0.23006877305330753
0.210526315789474,0.885397970676422,1,0.39932347805031704,0.07916294907686638,0.3076667483591537,0.21384682451366288
0.970804988662132,0.942496597766876,1,0.08092745437432704,0.027429531795178305,0.21911626353557412,0.6725267502949206
0.432692307692308,0.884687423706055,2/3,0.27022225724693105,0.06797953760884229,0.33367397798451887,0.3281242271597078
0.974657012195122,0.965201914310455,1,0.07964659659308504,0.027045795447380783,0.2169720551445135,0.6763355528150207
0.494424573953293,0.913172721862793,0,0.23772454254268938,0.0631749813038115,0.33207085040871553,0.3670296257447836
0.981773907910272,0.959751188755035,1,0.07840740573956992,0.02667304416345395,0.21486805639663356,0.6800514937003426
0.526771653543307,0.929482758045197,1/3,0.2217317185486597,0.06049848590177903,0.32949581851495086,0.3882739770346104
0.502148227712137,0.902578949928284,0,0.23465852658282624,0.0626780121002716,0.331676644658362,0.37098681665854016
0.857694429123001,0.932865619659424,2/3,0.10633857369113608,0.03472047388936808,0.25581131497892384,0.6031296374405719
0.942170240415855,0.935931205749512,1,0.08688511510544293,0.029193783716149002,0.22869341217448197,0.6552276890039261
0.0,0.864409863948822,1,0.5382080156985604,0.07843127352866952,0.24904265190435604,0.13431805886841408
0.908203125,0.90593558549881,1,0.09506855834274142,0.03156213247638398,0.24083965643555075,0.6325296527453239
0.0,0.841462254524231,0,0.5400150661384199,0.0783419927684662,0.24816828239273048,0.13347465870038344
0.974657012195122,0.940006077289581,1,0.08023390657834,0.02722194482547094,0.21795906507711965,0.6745850835190694
0.514615384615385,0.900364518165588,2/3,0.2289337814138703,0.06172963963267844,0.33081661107157734,0.3785199678818739
0.983321948998179,0.972940266132355,2/3,0.07781266876133792,0.026493622166542677,0.21384783293080714,0.6818458761413122
0.511111111111111,0.91884058713913,0,0.2295307368178861,0.06182977994738931,0.3309139902229725,0.37772549301175207
0.641104926819213,0.910675048828125,1,0.17495268211479836,0.05144796558668033,0.31332823019022027,0.460271122108301
0.974657012195122,0.955779254436493,1,0.07986577582425551,0.02711157163475801,0.21734116036212695,0.6756814921788595
0.974657012195122,0.962403833866119,1,0.07971162495035154,0.027065315414096847,0.21708165984036226,0.6761413997951893
